,Time,Lens Info,Dots/Inch,Image Size,Coordinates,State,Longitude,Direction,Brand,MIME Type,Time Zone,Long Ref,Country,ISO Speed,Date,F Number,Pointing,Color Space,Unique ID,Resolution,Lat Ref,Altitude,City,Shutter,Latitude,Model,Flash
IMG_4200.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 400,,f/18,,RGB ,,17.9 megapixels,,,,1/200 (0.005 seconds),,EOS REBEL T5i,Used
IMG_4202.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 100,,f/3.5,,RGB ,,17.9 megapixels,,,,1/1000 (0.001 seconds),,EOS REBEL T5i,Not Used
IMG_4203.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 100,,f/3.5,,RGB ,,17.9 megapixels,,,,1/1000 (0.001 seconds),,EOS REBEL T5i,Not Used
IMG_4204.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 400,,f/16,,RGB ,,17.9 megapixels,,,,1/200 (0.005 seconds),,EOS REBEL T5i,Used
IMG_4205.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 400,,f/13,,RGB ,,17.9 megapixels,,,,1/200 (0.005 seconds),,EOS REBEL T5i,Used
IMG_4206.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 400,,f/18,,RGB ,,17.9 megapixels,,,,1/200 (0.005 seconds),,EOS REBEL T5i,Used
IMG_4207.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 400,,f/16,,RGB ,,17.9 megapixels,,,,1/200 (0.005 seconds),,EOS REBEL T5i,Used
IMG_20230501_122155.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/2415 (0.0004 seconds),,JNY-LX1,Used
IMG_20230501_173338.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/857 (0.0012 seconds),,JNY-LX1,Used
IMG_4229.JPG,,Canon EF-S 18-55mm f/3.5-5.6 IS STM,72 DPI,5184 x 3456 pixels,,,,,Canon,image/jpeg,,,,ISO 100,,f/11,,RGB ,,17.9 megapixels,,,,1/160 (0.0063 seconds),,EOS REBEL T5i,Not Used
IMG_20230503_100341.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/3521 (0.0003 seconds),,JNY-LX1,Used
IMG_20230503_100418.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/10417 (0.0001 seconds),,JNY-LX1,Used
IMG_20230503_194708.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 5000,,f/1.8,,RGB ,,7.5 megapixels,,,,1/17 (0.0588 seconds),,JNY-LX1,Used
IMG_20230504_071228.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/886 (0.0011 seconds),,JNY-LX1,Used
IMG_20230504_082534.jpg,,Unknown,72 DPI,4000 x 1872 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 50,,f/1.8,,RGB ,,7.5 megapixels,,,,1/2564 (0.0004 seconds),,JNY-LX1,Used
