image_Node,image_NodeWeight,image_URL
PHOTO-2023-10-24-16-06-46.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-06-46.jpg
PHOTO-2023-10-24-16-07-22-1.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-22-1.jpg
PHOTO-2023-10-24-15-39-22.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-15-39-22.jpg
PHOTO-2023-10-24-16-07-13.jpg,5,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-13.jpg
PHOTO-2023-10-24-16-07-13-1.jpg,2,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-13-1.jpg
PHOTO-2023-10-30-12-29-07.jpg,9,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-30-12-29-07.jpg
PHOTO-2023-10-30-12-29-15.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-30-12-29-15.jpg
PHOTO-2023-10-24-16-06-45-1.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-06-45-1.jpg
PHOTO-2023-10-30-12-29-13.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-30-12-29-13.jpg
PHOTO-2023-10-24-16-06-48-1.jpg,8,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-06-48-1.jpg
SAM_0042.JPG,6,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/SAM_0042.JPG
PHOTO-2023-12-08-12-38-32.jpg,9,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-12-08-12-38-32.jpg
IMG_20200808_133202.jpg,10,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/IMG_20200808_133202.jpg
PHOTO-2023-10-24-16-06-53-1.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-06-53-1.jpg
PHOTO-2023-10-24-15-39-17.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-15-39-17.jpg
PHOTO-2023-10-24-16-07-04.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-04.jpg
IMG_4200.JPG,3,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/IMG_4200.JPG
PHOTO-2023-10-24-16-07-01-1.jpg,5,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-01-1.jpg
PHOTO-2023-10-24-16-07-05.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-05.jpg
PHOTO-2023-10-24-16-07-14-1.jpg,3,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-14-1.jpg
IMG_20230219_092713.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/IMG_20230219_092713.jpg
PHOTO-2023-10-30-12-29-10.jpg,7,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-30-12-29-10.jpg
IMG_20230501_173338.jpg,8,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/IMG_20230501_173338.jpg
PHOTO-2023-10-30-12-29-09.jpg,6,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-30-12-29-09.jpg
IMG_20200808_105303.jpg,2,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/IMG_20200808_105303.jpg
PHOTO-2023-10-24-15-39-20.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-15-39-20.jpg
PHOTO-2023-10-24-16-07-00-1.jpg,5,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-00-1.jpg
PHOTO-2023-10-24-16-07-12.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-12.jpg
GOPR1959.JPG,5,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/GOPR1959.JPG
PHOTO-2023-10-24-16-06-52-1.jpg,4,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-06-52-1.jpg
PHOTO-2023-10-24-16-07-15-1.jpg,9,https://raw.githubusercontent.com/Billal-MOKHTARI/Image-Analysis-and-Object-Detection-Using-Deep-Learning/main/data/test/PHOTO-2023-10-24-16-07-15-1.jpg
